id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd03000	KEGG:C04930	KEGG:C04930		KEGG:C04930	OPAM2:MolGpKa		GC	KEGG:C04930@Charged	KEGG:C04930@Charged	
cpd03001	KEGG:C04931	KEGG:C04931	KEGG:C04931	KEGG:C04931@Charged	OPAM2:MolGpKa	OPAM2:MolGpKa	GC	KEGG:C04931@Charged	KEGG:C04931@Charged	
cpd03002	MetaCyc:BISOHMYR-GLC;KEGG:C04932@Charged;ChEBI:58466	MetaCyc:BISOHMYR-GLC;KEGG:C04932@Charged;ChEBI:58466	MetaCyc:BISOHMYR-GLC;KEGG:C04932@Charged;ChEBI:58466	MetaCyc:BISOHMYR-GLC;KEGG:C04932@Charged;ChEBI:58466	OPAM2:MolGpKa		EQ	eQuilibrator:MNXM1569	MetaCyc:BISOHMYR-GLC@Charged	eQuilibrator:MNXM1569
cpd03003	KEGG:C04934	KEGG:C04934		KEGG:C04934	OPAM2:MolGpKa		GC	KEGG:C04934@Charged	KEGG:C04934@Charged	
cpd03004	KEGG:C04936@Charged;ChEBI:58665	KEGG:C04936@Charged;ChEBI:58665		KEGG:C04936@Charged;ChEBI:58665	OPAM2:MolGpKa		GC	KEGG:C04936@Charged	KEGG:C04936@Charged	
cpd03005	KEGG:C04937	KEGG:C04937		KEGG:C04937	OPAM2:MolGpKa		GC	KEGG:C04937@Charged	KEGG:C04937@Charged	
cpd03006	KEGG:C04938	KEGG:C04938		KEGG:C04938	OPAM2:MolGpKa		GC	KEGG:C04938@Charged	KEGG:C04938@Charged	
cpd03007	KEGG:C04939	KEGG:C04939		KEGG:C04939	OPAM2:MolGpKa		GC	KEGG:C04939@Charged	KEGG:C04939@Charged	
cpd03008	KEGG:C04940	KEGG:C04940		KEGG:C04940	OPAM2:MolGpKa		GC	KEGG:C04940@Charged	KEGG:C04940@Charged	
cpd03009	KEGG:C04942	KEGG:C04942		KEGG:C04942	OPAM2:MolGpKa		GC	KEGG:C04942@Charged	KEGG:C04942@Charged	
cpd03010	KEGG:C04943	KEGG:C04943		KEGG:C04943	OPAM2:MolGpKa		GC	KEGG:C04943@Charged	KEGG:C04943@Charged	
cpd03011	KEGG:C04944	KEGG:C04944		KEGG:C04944	OPAM2:MolGpKa		GC	KEGG:C04944@Charged	KEGG:C04944@Charged	
cpd03012										
cpd03013	MetaCyc:D-fructopyranose-1-phosphate;KEGG:C05001@Charged	MetaCyc:D-fructopyranose-1-phosphate;KEGG:C05001@Charged	MetaCyc:D-fructopyranose-1-phosphate;KEGG:C05001@Charged	MetaCyc:D-fructopyranose-1-phosphate;KEGG:C05001@Charged	OPAM2:MolGpKa		EQ	eQuilibrator:MNXM48438	KEGG:C05001@Charged	eQuilibrator:MNXM48438
cpd03014	MetaCyc:CPD-10725;KEGG:C05003	MetaCyc:CPD-10725;KEGG:C05003	MetaCyc:CPD-10725;KEGG:C05003	MetaCyc:CPD-10725;KEGG:C05003	OPAM2:MolGpKa		EQ	eQuilibrator:MNXM40992	KEGG:C05003@Charged	eQuilibrator:MNXM40992
cpd03015	KEGG:C05009@Charged	KEGG:C05009@Charged		KEGG:C05009@Charged	OPAM2:MolGpKa	OPAM2:MolGpKa	GC	KEGG:C05009@Charged	KEGG:C05009@Charged	
cpd03016	MetaCyc:CPD-21539;KEGG:C05010;ChEBI:147392	MetaCyc:CPD-21539;KEGG:C05010;ChEBI:147392	MetaCyc:CPD-21539;KEGG:C05010;ChEBI:147392	MetaCyc:CPD-21539;KEGG:C05010@Charged;ChEBI:147392	OPAM2:MolGpKa	OPAM2:MolGpKa	EQ	eQuilibrator:MNXM8720	KEGG:C05010@Charged	eQuilibrator:MNXM8720
cpd03017	MetaCyc:CPD-23694;KEGG:C05011@Charged	MetaCyc:CPD-23694;KEGG:C05011@Charged	MetaCyc:CPD-23694;KEGG:C05011@Charged	MetaCyc:CPD-23694;KEGG:C05011@Charged	OPAM2:MolGpKa	OPAM2:MolGpKa	GC	KEGG:C05011@Charged	KEGG:C05011@Charged	eQuilibrator:MNXM6155
cpd03018	KEGG:C05016	KEGG:C05016	KEGG:C05016	KEGG:C05016@Charged	OPAM2:MolGpKa	OPAM2:MolGpKa	EQ	eQuilibrator:MNXM59397	KEGG:C05016@Charged	eQuilibrator:MNXM59397
cpd03019	MetaCyc:CPD-12557;KEGG:C05021;ChEBI:28497	MetaCyc:CPD-12557;KEGG:C05021;ChEBI:28497	MetaCyc:CPD-12557;KEGG:C05021;ChEBI:28497	MetaCyc:CPD-12557;KEGG:C05021;ChEBI:28497	OPAM2:MolGpKa		EQ	eQuilibrator:MNXM2543	KEGG:C05021@Charged	eQuilibrator:MNXM2543
cpd03020	KEGG:C05026	KEGG:C05026	KEGG:C05026	KEGG:C05026@Charged		OPAM2:MolGpKa	EQ	eQuilibrator:MNXM64061	KEGG:C05026@Charged	eQuilibrator:MNXM64061
cpd03021	KEGG:C05028	KEGG:C05028	KEGG:C05028	KEGG:C05028	OPAM2:MolGpKa		GC	KEGG:C05028@Charged	KEGG:C05028@Charged	
cpd03022										
cpd03023	KEGG:C05031	KEGG:C05031	KEGG:C05031	KEGG:C05031	OPAM2:MolGpKa	OPAM2:MolGpKa	GC	KEGG:C05031@Charged	KEGG:C05031@Charged	eQuilibrator:MNXM65087
cpd03024	KEGG:C05042@Charged;ChEBI:58882	KEGG:C05042@Charged;ChEBI:58882	KEGG:C05042@Charged;ChEBI:58882	KEGG:C05042@Charged;ChEBI:58882	OPAM2:MolGpKa	OPAM2:MolGpKa	GC	KEGG:C05042@Charged	KEGG:C05042@Charged	
cpd03025	MetaCyc:Ribulose;MetaCyc:Xylulose;KEGG:C05052	MetaCyc:Ribulose;MetaCyc:Xylulose;KEGG:C05052	MetaCyc:Ribulose;MetaCyc:Xylulose;KEGG:C05052	MetaCyc:Ribulose;MetaCyc:Xylulose;KEGG:C05052	OPAM2:MolGpKa		GC	KEGG:C05052@Charged	KEGG:C05052@Charged	
