id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd13044	KEGG:C07281@Charged	KEGG:C07281@Charged		KEGG:C07281@Charged	OPAM2:MolGpKa	OPAM2:MolGpKa	GC	KEGG:C07281@Charged	KEGG:C07281@Charged	
cpd13045	KEGG:C07282@Charged	KEGG:C07282@Charged		KEGG:C07282@Charged	OPAM2:MolGpKa	OPAM2:MolGpKa	GC	KEGG:C07282@Charged	KEGG:C07282@Charged	
cpd13046					KEGG:C07283	KEGG:C07283				
cpd13047										
cpd13048										
cpd13049										
cpd13050										
cpd13051										
cpd13052										
cpd13053										
cpd13054	MetaCyc:CPD-24362@Charged;MetaCyc:DIMETHYLARSINATE;KEGG:C07308@Charged;ChEBI:16223	MetaCyc:CPD-24362@Charged;MetaCyc:DIMETHYLARSINATE;KEGG:C07308@Charged;ChEBI:16223	MetaCyc:CPD-24362@Charged;MetaCyc:DIMETHYLARSINATE;KEGG:C07308@Charged;ChEBI:16223	MetaCyc:CPD-24362@Charged;MetaCyc:DIMETHYLARSINATE;KEGG:C07308@Charged;ChEBI:16223	KEGG:C07308		GC	KEGG:C07308@Charged	KEGG:C07308@Charged	
cpd13055	KEGG:C07314	KEGG:C07314		KEGG:C07314		KEGG:C07314	GC	KEGG:C07314@Charged	KEGG:C07314@Charged	
cpd13057	MetaCyc:CPD-7104;KEGG:C07351;ChEBI:133419	MetaCyc:CPD-7104;KEGG:C07351;ChEBI:133419	MetaCyc:CPD-7104;KEGG:C07351;ChEBI:133419	MetaCyc:CPD-7104;KEGG:C07351;ChEBI:133419	OPAM2:MolGpKa		EQ	eQuilibrator:MNXM12640	KEGG:C07351@Charged	eQuilibrator:MNXM12640
cpd13083	KEGG:C07487	KEGG:C07487	KEGG:C07487	KEGG:C07487	OPAM2:MolGpKa	OPAM2:MolGpKa	GC	KEGG:C07487@Charged	KEGG:C07487@Charged	eQuilibrator:MNXM64698
cpd13195										
cpd13196										
cpd13197										
cpd13198										
cpd13199										
cpd13218										
cpd13267	KEGG:C08037	KEGG:C08037		KEGG:C08037	KEGG:C08037		GC	KEGG:C08037@Charged	KEGG:C08037@Charged	
cpd13269						KEGG:C08043				
cpd13319										
cpd13332					KEGG:C08253	KEGG:C08253				
