id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd34000	MetaCyc:CPD-19574	MetaCyc:CPD-19574	MetaCyc:CPD-19574	MetaCyc:CPD-19574	OPAM2:MolGpKa	OPAM2:MolGpKa	EQ	eQuilibrator:MNXM171825	MetaCyc:CPD-19574@Charged	eQuilibrator:MNXM171825
cpd34001	MetaCyc:CPD-18887@Charged	MetaCyc:CPD-18887@Charged		MetaCyc:CPD-18887@Charged	OPAM2:MolGpKa		GC	MetaCyc:CPD-18887@Charged	MetaCyc:CPD-18887@Charged	
cpd34002	MetaCyc:CPD-16934;ChEBI:50256	MetaCyc:CPD-16934;ChEBI:50256	MetaCyc:CPD-16934;ChEBI:50256	MetaCyc:CPD-16934;ChEBI:50256	OPAM2:MolGpKa		EQ	eQuilibrator:MNXM5636	MetaCyc:CPD-16934@Charged	eQuilibrator:MNXM5636
cpd34003	MetaCyc:CPD-17800	MetaCyc:CPD-17800	MetaCyc:CPD-17800	MetaCyc:CPD-17800		MetaCyc:CPD-17800	GC	MetaCyc:CPD-17800@Charged	MetaCyc:CPD-17800@Charged	eQuilibrator:MNXM148195
cpd34004	MetaCyc:CPD-20912	MetaCyc:CPD-20912	MetaCyc:CPD-20912	MetaCyc:CPD-20912	OPAM2:MolGpKa		GC	MetaCyc:CPD-20912@Charged	MetaCyc:CPD-20912@Charged	
cpd34005	MetaCyc:CPD-20792@Charged;ChEBI:141614@Charged	MetaCyc:CPD-20792@Charged;ChEBI:141614@Charged	MetaCyc:CPD-20792@Charged;ChEBI:141614@Charged	MetaCyc:CPD-20792@Charged;ChEBI:141614@Charged	OPAM2:MolGpKa		GC	MetaCyc:CPD-20792@Charged	MetaCyc:CPD-20792@Charged	
cpd34006	MetaCyc:CPD-21083	MetaCyc:CPD-21083	MetaCyc:CPD-21083	MetaCyc:CPD-21083	OPAM2:MolGpKa	OPAM2:MolGpKa	GC	MetaCyc:CPD-21083@Charged	MetaCyc:CPD-21083@Charged	
cpd34007	MetaCyc:CPD-20299	MetaCyc:CPD-20299	MetaCyc:CPD-20299	MetaCyc:CPD-20299	OPAM2:MolGpKa		GC	MetaCyc:CPD-20299@Charged	MetaCyc:CPD-20299@Charged	
cpd34008	MetaCyc:CPD-20212	MetaCyc:CPD-20212	MetaCyc:CPD-20212	MetaCyc:CPD-20212	OPAM2:MolGpKa	OPAM2:MolGpKa	GC	MetaCyc:CPD-20212@Charged	MetaCyc:CPD-20212@Charged	
cpd34009	MetaCyc:CPD-19122	MetaCyc:CPD-19122	MetaCyc:CPD-19122	MetaCyc:CPD-19122	OPAM2:MolGpKa		EQ	eQuilibrator:MNXM683052	MetaCyc:CPD-19122@Charged	eQuilibrator:MNXM683052
cpd34010	MetaCyc:CPD-18380	MetaCyc:CPD-18380	MetaCyc:CPD-18380	MetaCyc:CPD-18380	OPAM2:MolGpKa		EQ		MetaCyc:CPD-18380@Charged	
cpd34011	MetaCyc:CPD-14724;ChEBI:74309	MetaCyc:CPD-14724;ChEBI:74309	MetaCyc:CPD-14724;ChEBI:74309	MetaCyc:CPD-14724;ChEBI:74309	OPAM2:MolGpKa	OPAM2:MolGpKa	EQ	eQuilibrator:MNXM107637	MetaCyc:CPD-14724@Charged	eQuilibrator:MNXM107637
cpd34012	MetaCyc:CPD-18740	MetaCyc:CPD-18740	MetaCyc:CPD-18740	MetaCyc:CPD-18740	OPAM2:MolGpKa		EQ	eQuilibrator:MNXM163943	MetaCyc:CPD-18740@Charged	eQuilibrator:MNXM163943
cpd34013	MetaCyc:CPD-14516	MetaCyc:CPD-14516	MetaCyc:CPD-14516	MetaCyc:CPD-14516	OPAM2:MolGpKa	OPAM2:MolGpKa	EQ	eQuilibrator:MNXM97413	MetaCyc:CPD-14516@Charged	eQuilibrator:MNXM97413
cpd34014										
cpd34015	MetaCyc:CPD-20358	MetaCyc:CPD-20358	MetaCyc:CPD-20358	MetaCyc:CPD-20358	OPAM2:MolGpKa	OPAM2:MolGpKa	EQ	eQuilibrator:MNXM126861	MetaCyc:CPD-20358@Charged	eQuilibrator:MNXM126861
cpd34016	MetaCyc:CPD-19263@Charged	MetaCyc:CPD-19263@Charged	MetaCyc:CPD-19263@Charged	MetaCyc:CPD-19263@Charged	OPAM2:MolGpKa		EQ		MetaCyc:CPD-19263@Charged	
cpd34017	MetaCyc:CPD-18287	MetaCyc:CPD-18287	MetaCyc:CPD-18287	MetaCyc:CPD-18287	OPAM2:MolGpKa		GC	MetaCyc:CPD-18287@Charged	MetaCyc:CPD-18287@Charged	
cpd34018	MetaCyc:CPD-15701	MetaCyc:CPD-15701	MetaCyc:CPD-15701	MetaCyc:CPD-15701	OPAM2:MolGpKa		EQ	eQuilibrator:MNXM59477	MetaCyc:CPD-15701@Charged	eQuilibrator:MNXM59477
cpd34019	MetaCyc:CPD-17043	MetaCyc:CPD-17043	MetaCyc:CPD-17043	MetaCyc:CPD-17043	OPAM2:MolGpKa		EQ	eQuilibrator:MNXM148173	MetaCyc:CPD-17043@Charged	eQuilibrator:MNXM148173
cpd34020	MetaCyc:CPD-17910	MetaCyc:CPD-17910	MetaCyc:CPD-17910	MetaCyc:CPD-17910	OPAM2:MolGpKa		GC	MetaCyc:CPD-17910@Charged	MetaCyc:CPD-17910@Charged	
cpd34021	MetaCyc:CPD-15656;ChEBI:77548	MetaCyc:CPD-15656;ChEBI:77548	MetaCyc:CPD-15656;ChEBI:77548	MetaCyc:CPD-15656;ChEBI:77548	OPAM2:MolGpKa	OPAM2:MolGpKa	EQ	eQuilibrator:MNXM146454	MetaCyc:CPD-15656@Charged	eQuilibrator:MNXM146454
cpd34022	MetaCyc:CPD-15367	MetaCyc:CPD-15367	MetaCyc:CPD-15367	MetaCyc:CPD-15367	OPAM2:MolGpKa	OPAM2:MolGpKa	EQ	eQuilibrator:MNXM148096	MetaCyc:CPD-15367@Charged	eQuilibrator:MNXM148096
cpd34023	MetaCyc:CPD-14884	MetaCyc:CPD-14884	MetaCyc:CPD-14884	MetaCyc:CPD-14884	OPAM2:MolGpKa	OPAM2:MolGpKa	GC	MetaCyc:CPD-14884@Charged	MetaCyc:CPD-14884@Charged	eQuilibrator:MNXM117375
cpd34024	MetaCyc:CPD-17106	MetaCyc:CPD-17106	MetaCyc:CPD-17106	MetaCyc:CPD-17106	OPAM2:MolGpKa		EQ		MetaCyc:CPD-17106@Charged	
cpd34025	MetaCyc:CPD-17352;ChEBI:88253	MetaCyc:CPD-17352;ChEBI:88253		MetaCyc:CPD-17352;ChEBI:88253		MetaCyc:CPD-17352	GC	MetaCyc:CPD-17352@Charged	MetaCyc:CPD-17352@Charged	
cpd34026	MetaCyc:CPD-18769@Charged	MetaCyc:CPD-18769@Charged	MetaCyc:CPD-18769@Charged	MetaCyc:CPD-18769@Charged	OPAM2:MolGpKa		GC	MetaCyc:CPD-18769@Charged	MetaCyc:CPD-18769@Charged	eQuilibrator:MNXM531692
cpd34027	MetaCyc:CPD-15077@Charged	MetaCyc:CPD-15077@Charged	MetaCyc:CPD-15077@Charged	MetaCyc:CPD-15077@Charged	OPAM2:MolGpKa		GC	MetaCyc:CPD-15077@Charged	MetaCyc:CPD-15077@Charged	
cpd34028	MetaCyc:CPD-20376	MetaCyc:CPD-20376	MetaCyc:CPD-20376	MetaCyc:CPD-20376	OPAM2:MolGpKa	OPAM2:MolGpKa	EQ	eQuilibrator:MNXM126866	MetaCyc:CPD-20376@Charged	eQuilibrator:MNXM126866
cpd34029	MetaCyc:CPD-14537;ChEBI:150012@Charged	MetaCyc:CPD-14537;ChEBI:150012@Charged	MetaCyc:CPD-14537;ChEBI:150012@Charged	MetaCyc:CPD-14537;ChEBI:150012@Charged	OPAM2:MolGpKa		EQ	eQuilibrator:MNXM97507	MetaCyc:CPD-14537@Charged	eQuilibrator:MNXM97507
cpd34030	MetaCyc:CPD-15673	MetaCyc:CPD-15673	MetaCyc:CPD-15673	MetaCyc:CPD-15673	OPAM2:MolGpKa	OPAM2:MolGpKa	GC	MetaCyc:CPD-15673@Charged	MetaCyc:CPD-15673@Charged	eQuilibrator:MNXM149211
